ENTIDAD,NOM_ENT,MUN,NOM_MUN,POBTOT,PCON_DISC,PCDISC_AUD,PCDISC_MEN,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_MOT2,PSINDER,CASOS_COVID,CASOS_DENGUE,NEUMONIA,EMBARAZO,DIABETES,HIPERTENSION,ASMA,INMUSUPR,CARDIOVASCULAR,RENAL_CRONICA,OBESIDAD,EPOC,TABAQUISMO,INTUBADO,ENFERMEDAD_ULC_PEPTICA,ENFERMEDAD_RENAL,INMUNOSUPR,CIRROSIS_HEPATICA,FIEBRE,EXANTEMA,CASOS_FIEBRE
1,Aguascalientes,1,Aguascalientes,951537,47525,8636,8618,23117,20047,5894,8226,173199,6921,104,699,41,703,1098,278,148,182,230,342,207,286,89,1,2,0,0,1,1,1
1,Aguascalientes,2,Asientos,51896,2886,514,505,1425,1206,379,551,7590,92,0,27,0,20,27,4,2,7,6,17,10,14,5,0,0,0,0,1,1,1
1,Aguascalientes,3,Calvillo,58486,4088,853,804,2079,1640,556,762,11832,413,5,67,0,37,55,9,7,17,15,17,17,30,4,0,0,0,0,1,1,1
1,Aguascalientes,4,Cosío,17187,805,148,127,432,305,118,147,2347,41,0,12,0,13,13,2,0,3,2,3,6,4,2,0,0,0,0,0,0,0
1,Aguascalientes,5,Jesús María,130388,5036,847,959,2224,2089,837,980,27299,348,6,35,0,42,67,24,14,14,13,35,20,25,3,0,0,0,0,0,0,0
1,Aguascalientes,6,Pabellón de Arteaga,48220,2624,487,451,1283,1150,313,462,8858,125,1,25,1,21,26,4,9,4,6,7,12,12,4,0,0,0,0,0,0,0
1,Aguascalientes,7,Rincón de Romos,58256,3323,579,620,1572,1413,435,587,11395,359,1,47,2,43,53,17,5,5,14,53,8,14,4,0,0,0,0,0,0,0
1,Aguascalientes,8,San José de Gracia,9603,569,111,115,247,235,89,118,1249,26,0,5,0,5,8,2,0,1,0,2,3,4,2,0,0,0,0,0,0,0
1,Aguascalientes,9,Tepezalá,22765,1063,200,154,562,405,154,254,3358,75,0,20,1,15,22,1,3,5,5,5,8,7,5,0,0,0,0,0,0,0
1,Aguascalientes,10,El Llano,21706,1141,245,208,580,487,178,256,4387,99,1,14,3,14,25,2,1,4,4,8,4,5,2,0,0,0,0,0,0,0
1,Aguascalientes,11,San Francisco de los Romo,62281,2234,369,406,986,911,344,383,10574,229,9,19,3,24,28,11,7,9,3,16,6,13,1,0,0,0,0,0,0,0
2,Baja California,1,Ensenada,448024,20367,3594,3513,9811,8431,2674,3784,77808,629,2,350,13,84,103,17,13,16,12,47,21,34,56,0,0,0,0,6,6,6
2,Baja California,2,Mexicali,1055880,44519,7959,8117,21524,18650,6575,9033,190666,1765,9,1311,15,517,752,106,290,697,141,515,372,352,146,0,0,0,0,3,3,3
2,Baja California,3,Tecate,110003,4104,823,848,1860,1774,728,883,19715,26,4,9,0,5,11,1,2,2,1,5,2,1,6,0,0,0,0,0,0,0
