Clinic Aid Code,Genre,Average Age of the SME (years),"Specialty of the 
Medical Equipment",Marca,Modelo,Año,Número Serie,"Number of 
Consultations per Month",Clinic Size,% of Patients with Middle-Low to Low Income,Total Staff,Attends Patients with Health Insurance,Location of the Clinic,ZIP CODE,REGION,State,Municipality,City,Address,Instagram,Facebook,LinkedIn,Web Page,Final_Address,latitud,longitud,New_Address,geometry,CVEGEO,NSE_score,NSE,clave
AP0391-004,Man,21.16712329,Ophthalmology,MEDIWORKS,SCANSYS TA517,2023,TA517-J202308101-01-00002  ,340,Micro,0.2,3,Yes,Urban,64060,NorthEast,Nuevo León,Monterrey,Monterrey,MIGUEL HIDALGO 2425,http://www.cmhidalgo.com.mx/portal/index.php/sepulveda-sepulveda-rafael,https://www.doctoralia.com.mx/rafael-sepulveda-sepulveda/oftalmologo/monterrey,https://www.topdoctors.mx/doctor/jose-rafael-sepulveda-sepulveda,,"MIGUEL HIDALGO 2425, Monterrey",25.6724071,-100.3469646,Nuevo León Monterrey Monterrey MIGUEL HIDALGO 2425,POINT (-100.3469646 25.6724071),1.9039E+12,12.91537941,Medio-Alto,1.9039E+12
AP0424-002,Enterprise,4.62739726,Imagenology,PHILLIPS,CLEA VUE 350,2022,SZ32182549,160,Micro,0.2,5,No,Urban,44560,West-Bajío,Jalisco,Guadalajara,Guadalajara,LAPIZLAZULI 2905,WWW.BIENESTAREMPRESARIAL.MX,https://lasempresas.com.mx/diagnostico-medico-bienestar-empresarial/,https://www.linkedin.com/in/sonia-aide-rodr%C3%ADguez-robles-gil-81a28034/,,"LAPIZLAZULI 2905, Guadalajara",20.64091,-103.38977,Jalisco Guadalajara Guadalajara LAPIZLAZULI 2905,POINT (-103.38977 20.64091),1.4039E+12,25.33328485,Alto,1.4039E+12
AP0424-003,Enterprise,4.62739726,Imagenology,GE,LUNAR PRODIGY BONE,2022,64987,160,Micro,0.2,5,No,Urban,44560,West-Bajío,Jalisco,Guadalajara,Guadalajara,LAPIZLAZULI 2905,WWW.BIENESTAREMPRESARIAL.MX,https://lasempresas.com.mx/diagnostico-medico-bienestar-empresarial/,https://www.linkedin.com/in/sonia-aide-rodr%C3%ADguez-robles-gil-81a28034/,,"LAPIZLAZULI 2905, Guadalajara",20.64091,-103.38977,Jalisco Guadalajara Guadalajara LAPIZLAZULI 2905,POINT (-103.38977 20.64091),1.4039E+12,25.33328485,Alto,1.4039E+12
AP0424-005,Enterprise,4.62739726,Imagenology,IMADINE,BTL-6000 TRT Radiofrecuencia,2023,DBA022310129,160,Micro,0.2,5,No,Urban,44560,West-Bajío,Jalisco,Guadalajara,Guadalajara,LAPIZLAZULI 2905,WWW.BIENESTAREMPRESARIAL.MX,https://lasempresas.com.mx/diagnostico-medico-bienestar-empresarial/,https://www.linkedin.com/in/sonia-aide-rodr%C3%ADguez-robles-gil-81a28034/,,"LAPIZLAZULI 2905, Guadalajara",20.64091,-103.38977,Jalisco Guadalajara Guadalajara LAPIZLAZULI 2905,POINT (-103.38977 20.64091),1.4039E+12,25.33328485,Alto,1.4039E+12
AP0424-007,Enterprise,4.62739726,Imagenology,BECKMAN,BS-240 ANALIZADOR DE QUIMICA CLINICA,2022,400360,160,Micro,0.2,5,No,Urban,44560,West-Bajío,Jalisco,Guadalajara,Guadalajara,LAPIZLAZULI 2905,WWW.BIENESTAREMPRESARIAL.MX,https://lasempresas.com.mx/diagnostico-medico-bienestar-empresarial/,https://www.linkedin.com/in/sonia-aide-rodr%C3%ADguez-robles-gil-81a28034/,,"LAPIZLAZULI 2905, Guadalajara",20.64091,-103.38977,Jalisco Guadalajara Guadalajara LAPIZLAZULI 2905,POINT (-103.38977 20.64091),1.4039E+12,25.33328485,Alto,1.4039E+12
AP0427-003,Enterprise,6.079452055,Physiotherapy,FISIOLAB ,2 EQUIPOS NUTEK,2023,2.22E+18,560,Small,0.6,8,Yes,Urban,45120,West-Bajío,Jalisco,Zapopan,Zapopan,CONSTITUYENTES JALISCIENCES 162,http://www.aydrehabilitadores.com/,https://www.facebook.com/AD-Rehabilitadores-256973881858952/,https://mx.linkedin.com/in/daniel-rios-quintanar-46974b179,,"CONSTITUYENTES JALISCIENCES 162, Zapopan",20.6784062,-103.4043352,Jalisco Zapopan Zapopan CONSTITUYENTES JALISCIENCES 162,POINT (-103.4043352 20.6784062),1.412E+12,30.5218902,Alto,1.412E+12
AP0450-010,Enterprise,23.23835616,Ophthalmology,BAUSCH & LOMB,TECHNOLAS TENEO 317 MODEL 2,2023,T317â€“ 6004,380,Micro,0.6,4,No,Urban,20120,NorthEast,Aguascalientes,Aguascalientes,Aguascalientes,BLVD LUIS DONALDO COLOSIO 111,https://mexicoo.mx/clinica-excimer-laser-de-aguascalientes-38980,https://www.facebook.com/pages/Excimer%20Laser/158997130912644,https://www.momadvisor.com.mx/profesionales-salud/aguascalientes/hospitales-clinicas/excimer-laser-de-aguascalientes-s-c/,,"BLVD LUIS DONALDO COLOSIO 111, Aguascalientes",21.92472964,-102.3030478,Aguascalientes Aguascalientes Aguascalientes BLVD LUIS DONALDO COLOSIO 111,POINT (-102.3030478 21.92472964),1.001E+11,30.60408791,Alto,1.001E+11
AP0517-003,Man,6.654794521,Imagenology,GENERAL ELECTRIC,VIVID S702D,2023,1253135S70N,480,Micro,0.1,3,Yes,Rural,63732,West-Bajío,Nayarit,Bahía de Banderas,Bucerías,Av. Héroes de Nacozari 280,https://cardiologosenpuertovallarta.com/,,https://www.doctoralia.com.mx/joel-antonio-sanchez-figueroa/cardiologo/cuauhtemoc,,"Av. Héroes de Nacozari 280, Bucerías",20.75098367,-105.3224098,Nayarit Bahía de Banderas Bucerías Av. Héroes de Nacozari 280,POINT (-105.3224098 20.75098367),1.802E+12,-1.054145803,Bajo-Medio,1.802E+12
AP0607-001,Man,25.01643836,Gynecology,GENERAL ELECTRIC,LOGIQ F6,2020,6057829WX0,160,Micro,0.1,3,No,Urban,22414,NorthWest,Baja California,Tijuana,Tijuana,CALZ TECNOLOGICO 810,https://www.instagram.com/davidaguilar4707/,SIN RESULTADOS,"https://www.topdoctors.mx/doctor/david-aguilar-obeso
https://www.doctoralia.com.mx/david-aguilar-sandoval/especialista-en-obesidad-y-delgadez-endocrinologo/guadalajara",-,"CALZ TECNOLOGICO 810, Tijuana",32.52961367,-116.9804255,Baja California Tijuana Tijuana CALZ TECNOLOGICO 810,POINT (-116.9804255 32.52961367),2.004E+11,21.44773708,Alto,2.004E+11
AP0608-002,Enterprise,14.00547945,Imagenology,GENERAL ELECTRIC,VERSANA PREMIER,2024,6141772WX0,340,Micro,0.3,4,Yes,Urban,80040,NorthWest,Sinaloa,Culiacán,Culiacán Rosales,BLVD PEDRO MARIA ANAYA 400,,https://www.facebook.com/sanatoriocemsi,https://www.tocdoc.com/doctor/dr-jose-romulo-rafael-felix-sanchez,,"BLVD PEDRO MARIA ANAYA 400, Culiacán Rosales",24.84021263,-107.3891801,Sinaloa Culiacán Culiacán Rosales BLVD PEDRO MARIA ANAYA 400,POINT (-107.3891801 24.84021263),2.5006E+12,11.87650514,Medio,2.5006E+12
